organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
Drummond Street,Brimbank,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,Suite 10 (Level 2/81A Elgar Rd,Derrimut,VIC,3030,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,Carlton,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,100 Drummond St,Carlton,VIC,3053,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,Coburg,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,368 Sydney Rd,Coburg,VIC,3058,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,Collingwood,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,253 Hoddle St,Collingwood,VIC,3066,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,Epping,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,713 High St,Epping,VIC,3076,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,La Trobe,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,,,,,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,North Melbourne,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,49-53 Buncle St,North Melbourne,VIC,3051,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,Whittlesea,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,,,,,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Drummond Street,Wyndham,Drummond Street,Statewide,enquiries@ds.org.au,03 9663 6733,https://ds.org.au/,,Not applicable,No,Yes,No,After hours able to be requested with practitioner,117-129 Warringa Cres,Hoppers Crossing,VIC,3029,"Free, Paid","In person, Online","Low intensity, Moderate intensity","Free call, General bookings","Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families","Tertiary qualified, Vocationally qualified"
Eating Disorders Victoria (EDV),Online,Telehealth Counselling,Statewide,hub@eatingdisorders.org.au,1300 550 236,https://www.eatingdisorders.org.au/,,Not applicable,No,Yes,No,,"Level 2, Collingwood Football Club Community Centre, Cnr Lulie and Abbot Streets, Abbotsford, Vic 3067, Open 9am – 5pm, Monday to Friday.",,,,Free,Online,Moderate intensity,General bookings,Specialised mental health community support services,Specialised Services,"Peer worker, Vocationally qualified"
Eating Disorders Victoria (EDV),Online,Telehealth Nurse,Statewide,hub@eatingdisorders.org.au,1300 550 236,EDV's Telehealth Nurse | Eating Disorders Victoria,,Yes (but no timeframe),No,Yes,Yes,"Need to make an appointment for the nurse to contact you, may be out of hours if suits","Level 2, Collingwood Football Club Community Centre, Cnr Lulie and Abbot Streets, Abbotsford, Vic 3067, Open 9am – 5pm, Monday to Friday.",,,,Free,Online,Moderate intensity,General bookings,Specialised mental health community support services,Specialised Services,"Tertiary qualified, Vocationally qualified"
Eating Disorders Victoria (EDV),Statewide,Support Groups,Statewide,hub@eatingdisorders.org.au,1300 550 236,Find Eating Disorder Support Groups | Eating Disorders Victoria,"Groups available include: REACH  - for restrictive and compensatory behaviours, BEYOND - for binge eating and compensatory behaviours, COSMO - for those experiencing an eating disorder and other health conditions, BLOOM - for those in the LGBTQIA+ community experiencing an eating disorder, VIVA - eating disorders and larger bodies, SEED - for those with Severe and Enduring (10+ years) eating disorders, UPSKILL and RENEW - for family and friends",Yes (but no timeframe),No,Yes,Yes,"Need to book into a group, some meet outside of work hours, some meet during","Level 2, Collingwood Football Club Community Centre, Cnr Lulie and Abbot Streets, Abbotsford, Vic 3067, Open 9am – 5pm, Monday to Friday.",,,,Free,Online,Moderate intensity,General bookings,Specialised mental health community support services,Specialised Services,"Tertiary qualified, Vocationally qualified"
Ecouch,Online,Ecouch,Statewide,ecouch@ehubhealth.com.,,https://ecouch.com.au/info/about,,Not applicable,Yes,Yes,Yes,online app/website,Online,,,,Free,Online,Self management,,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
eheadspace,Online,eheadspace,Statewide,Sign up for account to email,1800 650 890,https://headspace.org.au/online-and-phone-support/connect-with-us/talk-about-mental-health/,,Not applicable,No,Yes,Yes,Available 9am-1am AEST every day,,,,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention",Young People,"Peer worker, Tertiary qualified, Vocationally qualified"
Elysium Psychology,Brunswick,Elysium Psychology,North Western Melbourne,admin@elysiumpsychology.com.au,0491 709 555,https://www.elysiumpsychology.com.au/,,Less than a month,No,Yes,No,,"Suite 2, Level 2, 30-32 Sydney Rd",Brunswick,VIC,3056,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Elysium Psychology,Greenborough,Elysium Psychology,North Western Melbourne,admin@elysiumpsychology.com.au,0491 709 555,https://www.elysiumpsychology.com.au/,,Less than a month,No,Yes,No,,"Suite 7, Level 1, 18 Sherbourne Rd",Greensborough,VIC,3088,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Empowered Psychology,Melton,Empowered Psychology,Greater Melbourne,empowerpsychology@yahoo.com.au,0418 225 955,https://empoweredpsychology.business.site/,,Not applicable,No,Yes,No,,33 Scott Street,Melton,VIC,3337,Paid,In person,"Low intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
EPSYCHIATRY,online,EPSYCHIATRY,Statewide,support@epsychiatry.com.au,390058363,https://epsychiatry.com.au/,,No timeframe,No,Yes,No,,online,,,,Paid,Online,"Low intensity, Moderate intensity",,"Medications and procedures, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Everyday Independance,Inner Eastern Melbourne,Everyday Independance,North Western Melbourne,Contact Form on website,1300 179 131,https://www.everydayind.com.au/,,Not applicable,No,Yes,No,,"Building 1, 303-313 Burwood Highway",Burwood East,VIC,3151,Paid,In person,"Low intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,Specialised Services,"Peer worker, Tertiary qualified, Vocationally qualified"
Everyday Independance,Northern Melbourne,Everyday Independance,North Western Melbourne,Contact Form on website,1300 179 131,https://www.everydayind.com.au/,,Not applicable,No,Yes,No,,102/16A Keilor Park Drive,Keilor East,VIC,3033,Paid,In person,"Low intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,Specialised Services,"Peer worker, Tertiary qualified, Vocationally qualified"
Everyday Independance,North Western Melbourne,Everyday Independance,North Western Melbourne,Contact Form on website,1300 179 131,https://www.everydayind.com.au/,,Not applicable,No,Yes,No,,6 Pines Way,Craigieburn,VIC,3064,Paid,In person,"Low intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,Specialised Services,"Peer worker, Tertiary qualified, Vocationally qualified"
Everyday Independance,Western Melbourne,Everyday Independance,North Western Melbourne,Contact Form on website,1300 179 131,https://www.everydayind.com.au/,,Not applicable,No,Yes,No,,7/28 West Court,Derrimut,VIC,3030,Paid,In person,"Low intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,Specialised Services,"Peer worker, Tertiary qualified, Vocationally qualified"
Family care,Alexandra,Family care,Statewide,,03 5772 2622.,https://familycare.net.au/,"Mixed team and mixed service offerings, also options for volunteers, and student placements.",No timeframe,No,Yes,Yes,"9.00am – 5.00pm
Monday – Friday
(After hours by appointment)",54A Downey Street,Alexandra,VIC,3714,Paid,Outreach,"Low intensity, Moderate intensity, Self management",Varies depending on service ,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",,"Peer worker, Tertiary qualified, Vocationally qualified"
Family care,Kinglake,Family care,Statewide,,0357 861 888,https://familycare.net.au/,"Mixed team and mixed service offerings, also options for volunteers, and student placements.",No timeframe,No,Yes,Yes,"9.00am – 5.00pm
Monday – Friday
(After hours by appointment)",19 Whittlesea-Kinglake Road,Kinglake,VIC,3763,Paid,Outreach,"Low intensity, Moderate intensity, Self management",Varies depending on service ,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",,"Peer worker, Tertiary qualified, Vocationally qualified"
Family care,Wallan,Family care,Statewide,,0357 341 000,https://familycare.net.au/,"Mixed team and mixed service offerings, also options for volunteers, and student placements.",No timeframe,No,Yes,Yes,"9.00am – 5.00pm
Monday – Friday
(After hours by appointment)",45 Wellington Street,Wallan,VIC,3756,Paid,In person,"Low intensity, Moderate intensity, Self management",Varies depending on service ,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",,"Peer worker, Tertiary qualified, Vocationally qualified"
Family Relationship Counselling,Bacchus Marsh,CAFS,North Western Melbourne,welcome@cafs.org.au,1800 692 237,https://cafs.org.au/,,Not applicable,No,Yes,No,,52 Grant Street,Bacchus Marsh,VIC,3340,Free,In person,Low intensity,,Specialised mental health community support services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Family Relationships Online,Online,Family Relationship Advice Line,Statewide,,1800 050 321,Counselling | Family Relationships Online,,No timeframe,No,Yes,Yes,"Monday to Friday 8am to 8pm local time
Saturday 10am to 4pm local time
Closed Sundays and national public holidays",,,,,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention",Families,
Family Violence Response Centre,Phone line,Safe Steps,Statewide,safesteps@safesteps.org.au,1800015188,Safe Steps Family Violence Response Centre - 24/7 support for Victorians,,No timeframe,Yes,Yes,Yes,"Web chat only available 9am - midnight on weekdays, phone and email available 24 7",,,,,Free,Online,"High intensity, Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Peer worker, Tertiary qualified, Vocationally qualified"
First People's Health and Wellbeing,Thomastown,First People's Health and Wellbeing,Greater Melbourne,thomastown@fphw.org.au,P: 03 9070 8181,https://www.firstpeopleshealthandwellbeing.org.au/,,Not applicable,No,No,Yes,"Mon: 9.00am - 5.00pm
   Tue: 9.00am - 5.00pm
     Wed: 9.00am - 5.00pm
   Thu: 9.00am - 5.00pm
Fri: 9.00am - 1.00pm
Sat and Sun: Closed",258 Settlement Rd,Thomastown,VIC,3074,Free,In person,Moderate intensity,General bookings,Primary and specialised clinical ambulatory mental health care services,Aboriginal and Torres Strait Islander,Medical
For When,Phone line,For When |QEC,Statewide,admin@forwhenhelpline.org.au,1300 24 23 22,https://forwhenhelpline.org.au/,,No timeframe,No,Yes,No,,,,,,Free,Online,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Foundation House,Brunswick,Foundation House,Statewide,info@foundationhouse.org.au,(03) 9389 8904,https://foundationhouse.org.au/,,Not applicable,No,Yes,No,,4 Gardiner Street,Brunswick,VIC,3056,Free,In person,"Low intensity, Moderate intensity","Free call, General bookings",Specialised mental health community support services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Foundation House,Dallas,Foundation House,Statewide,info@foundationhouse.org.au,(03) 9389 8904,https://foundationhouse.org.au/,,Not applicable,No,Yes,No,,"Level 4, 61 Riggall Street",Dallas,VIC,3047,Free,In person,"Low intensity, Moderate intensity","Free call, General bookings",Specialised mental health community support services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Foundation House,Dandenong,Foundation House,Statewide,info@foundationhouse.org.au,(03) 9389 8901,https://foundationhouse.org.au/,,Not applicable,No,Yes,No,,155 Foster Street,Dandenong,VIC,3175,Free,In person,"Low intensity, Moderate intensity","Free call, General bookings",Specialised mental health community support services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Foundation House,Ringwood,Foundation House,Statewide,info@foundationhouse.org.au,(03) 9389 8902,https://foundationhouse.org.au/,,Not applicable,No,Yes,No,,18 Bond Street,Ringwood,VIC,3134,Free,In person,"Low intensity, Moderate intensity","Free call, General bookings",Specialised mental health community support services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Foundation House,Sunshine,Foundation House,Statewide,info@foundationhouse.org.au,(03) 9389 8903,https://foundationhouse.org.au/,,Not applicable,No,Yes,No,,163 Harvester Road,Sunshine,VIC,3020,Free,In person,"Low intensity, Moderate intensity","Free call, General bookings",Specialised mental health community support services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Friendline,Phone line,Friends for good.,Statewide,,03 9663 2740,https://www.friendline.org.au/,,No timeframe,No,Yes,Yes,"10am – 8pm, 7 days a week",,,,,Free,Online,Self management,Free call,Mental illness prevention,"Adult, Older Adults",Peer worker
"Friends, Family & Carers Forum",Online,"Friends, Family & Carers Forum |SANE",Statewide,,1800187263,"Mental health support for family, friends & carers (saneforums.org)",,No timeframe,Yes,Yes,Yes,Online forum,,,,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Peer worker
FVREE EDVOS CASE MANAGEMENT SUPPORT,Ringwood,FVREE EDVOS CASE MANAGEMENT SUPPORT,Greater Melbourne,getintouch@fvree.org.au,03 9259 4200,https://www.fvree.org.au/,,Not applicable,No,Yes,No,FVREE Operating Hours: M-F: 9am-5pm,PO BOX 698,Ringwood,VIC,3134,Free,"In person, Online","High intensity, Low intensity, Moderate intensity, Self management",Free call,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Children, Families",
Gabriel Rusu,Melbourne,Psychologist,Greater Melbourne,,399097703,Gabriel Rusu | Psychologist (goodtherapy.com.au),"Services offered include counselling, psychotherapy and hypnotherapy",Not applicable,No,Yes,No,,10/530 Little Collins St,Melbourne,VIC,3000,Paid,In person,"Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Gamblers Help,Online,Helpline,Statewide,contact@responsiblegambling.vic.gov.au,1800 858 858,"Gambler's Help, Victoria, Australia (gamblershelp.com.au)","Gambler's Help services are available in over 100 locations across Victoria.

In-language counselling services are available for Arabic, Chinese and Vietnamese- speaking communities. Some other languages are also available by request.",No timeframe,Yes,Yes,Yes,24/7 service,"Level 6, 14-20 Blackwood Street",North Melbourne,VIC,3051,Free,Online,"Low intensity, Self management",Free call,Mental illness prevention,Specialised Services,
Gamblers Help,Online,Youth Helpline,Statewide,contact@responsiblegambling.vic.gov.au,1800 858 858,"Gambler's Help, Victoria, Australia (gamblershelp.com.au)","Gambler's Help services are available in over 100 locations across Victoria.

In-language counselling services are available for Arabic, Chinese and Vietnamese- speaking communities. Some other languages are also available by request.",No timeframe,Yes,Yes,Yes,24/7 service,"Level 6, 14-20 Blackwood Street",North Melbourne,VIC,3052,Free,Online,"Low intensity, Self management",Free call,Mental illness prevention,"Children, Specialised Services, Young People",
Gambling Help,Online,Online,Statewide,,"Gambler's Help 1800 858 858
Gambler's Help Youthline 1800 262 376",https://www.gamblinghelponline.org.au/,,No timeframe,Yes,Yes,Yes,,,,,,Free,Online,"Low intensity, Self management",Free call,Mental illness prevention,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Vocationally qualified
Gen West,Footscray,Children and Youth Counselling Service,North Western Melbourne,info@genwest.org.au,1800 436 937,https://genwest.org.au/what-we-do/family-violence-help/,,Not applicable,No,Yes,No,,317-319 Barkly St,Footscray,VIC,3011,Free,In person,"Low intensity, Moderate intensity",,"Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Children, Families, Specialised Services, Young People",Tertiary qualified
Glencairn consulting suites,Coburg,Glencairn consulting suites,North Western Melbourne,glencairn@mh.org.au,(03) 9355 9820,Glencairn Consulting Suites | NorthWestern Mental Health (nwmh.org.au),,Not applicable,No,Yes,Yes,"Glencairn has morning, afternoon and evening sessions on weekdays.","Ground Floor, 130 Bell Street",Coburg,VIC,3058,Paid,In person,"High intensity, Moderate intensity",,"Medications and procedures, Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, AOD, Families, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Good minds,Statewide,Good minds,Statewide,hello@goodminds.com.au,1800 955 586,https://www.goodminds.com.au/,,Not applicable,No,Yes,Yes,Upon arrangement,"Suite 1A Level 2, 802-808 Pacific Highway",Gordon,NSW,2072,Paid,Online,"High intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Gottman Insitute,Online,Gottman Insitute,Statewide,online contact form,,The Gottman Institute | A research-based approach to relationships,,Not applicable,Yes,Yes,Yes,"online learning, workshops, and downloadable resources",Online,,,,"Free, Paid",Online,Self management,,"Mental health promotion, Mental illness prevention","Adult, Families, Older Adults",
Grief Australia,App,My Grief App,Statewide,info@grief.org.au,03 9265 2100,My Grief App,Information is anonymous and remains confidential,Not applicable,Yes,Yes,Yes,,253 Wellington Rd,Mulgrave,VIC,3170,"Free, Paid","In person, Online","Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
Grief Australia,Mulgrave,Bereavement Support Groups,Statewide,info@grief.org.au,03 9265 2100,Support Groups (grief.org.au),"Grief Australia provides bereavement support groups in Mulgrave, Springvale, and Notting Hill. Currently, due to COVID-19, the majority of the groups are held using an online platform. The only exception is Bereavement at the Bar (Please see below). Support groups currently offered include: Talking Grief Support Group (65 years +), Bereaved Partners Remembrance Group, Kids Grieve Too (KG2), Parents Remembrance Group, Bereavement at the Bar, Bereaved Fathers Support Group, COVID-19 Bereavement Support Group, Companion Animal Loss Group.",Not applicable,No,Yes,No,"Some groups, such as Bereavement at the Bar meet outside of workhours, will need to contact Grief Australia within open hours to make a referral or find out info.",253 Wellington Rd,Mulgrave,VIC,3170,"Free, Paid","In person, Online","Low intensity, Moderate intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,"Peer worker, Tertiary qualified"
Grief Australia,Mulgrave,Counselling Services,Statewide,info@grief.org.au,03 9265 2100,Counselling (grief.org.au),,Not applicable,No,Yes,No,,253 Wellington Rd,Mulgrave,VIC,3170,"Free, Paid","In person, Online","Low intensity, Moderate intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
GriefLine - Online resources,Online,GriefLine - Online resources,Statewide,No email for enquires but there is a online contact form here https://griefline.org.au/contact-us/,1300 845 754,https://griefline.org.au/,,No timeframe,No,Yes,Yes,8am to 8pm Monday to Friday (AEST) on toll free helpline. The centre offers phone support 7 days a week however the helpline only works on business dyas.,8/181 St Kilda Road,St Kilda,VIC,3182,Free,Online,Self management,Free call,Mental health promotion,Specialised Services,Peer worker
GriefLine - Telephone support,Online,GriefLine - Telephone support,Statewide,No email for enquires but there is a online contact form here https://griefline.org.au/contact-us/,1300 845 754,https://griefline.org.au/,,No timeframe,No,Yes,Yes,8am to 8pm Monday to Friday (AEST) on toll free helpline. The centre offers phone support 7 days a week however the helpline only works on business dyas.,8/181 St Kilda Road,St Kilda,VIC,3182,Free,Online,Low intensity,Free call,Mental illness prevention,Specialised Services,
Grow,Online,mental wellbeing programs,Statewide,,1800 558 268,https://grow.org.au/egrow/,,Not applicable,No,Yes,Yes,Some groups are run outside business hours,"Victorian Grow Community Centre, Boonwurrung Country, 707 Glen Huntly Road",Caulfield,VIC,3162,Free,Online,Self management,,Specialised bed-based mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, LGBTQIA+, Older Adults, Specialised Services, Young People",Peer worker
Harvester Private consulting suites,Sunshine,Harvester Private consulting suites,North Western Melbourne,harvesterprivate@mh.org.au,"
(03) 9288 7130",Harvester Private Consulting Suites | NorthWestern Mental Health (nwmh.org.au),,Not applicable,No,Yes,Yes,"Harvester Private has morning, afternoon and evening sessions on weekdays.",4B Devonshire Road,Sunshine,VIC,3020,Paid,In person,"High intensity, Moderate intensity, Specialist",,"Medications and procedures, Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, AOD, Families, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
headspace,Collingwood,headspace,North Western Melbourne,reception@collingwoodheadspace.org.au,(03) 9417 0150,https://headspace.org.au/,,Not applicable,No,Yes,Yes,Closes at 6pm on Weekdays,"1/16 Lulie St (Level 1), Cnr Lulie & Abbott Streets",Abbotsford,VIC,3067,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Young People,"Medical, Peer worker, Tertiary qualified, Vocationally qualified"
headspace,Craigieburn,headspace,North Western Melbourne,info-headspacecraigieburn@orygen.org.au,(03) 8338 0919,https://headspace.org.au/,,Not applicable,No,Yes,Yes,Open to 7pm on Tuesdays and Wednesdays,"Suite 1, Level 1, Central Suites, Craigieburn Central, 340 Craigieburn Road",Craigieburn,VIC,3064,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Young People,
headspace,Melton,headspace,North Western Melbourne,info-headspaceMelton@orygen.org.au,(03) 8065 5600,https://headspace.org.au/,,Not applicable,No,Yes,Yes,Closes at 7pm on a Monday and Tuesday,16 Brooklyn Road,Melton,VIC,3338,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Young People,"Tertiary qualified, Vocationally qualified"
headspace,Sunshine,headspace,North Western Melbourne,info-headspacesunshine@orygen.org.au,(03) 9927 6222,https://headspace.org.au/,,Not applicable,No,Yes,No,,80b Harvester Road,Sunshine,VIC,3020,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Young People,"Medical, Peer worker, Tertiary qualified, Vocationally qualified"
headspace,Werribee,headspace,North Western Melbourne,,(03) 8001 2366,https://headspace.org.au/,,Not applicable,No,Yes,Yes,Closes at 7pm on Tuesday. Closes at 6pm on Wednesday and Thursday,80b Harvester Road,Sunshine,VIC,3020,Free,"In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Young People,"Medical, Peer worker, Tertiary qualified, Vocationally qualified"
Headspace Mindfulness App,Online,Headspace Mindfulness App,Statewide,help@headspace.com,,https://www.headspace.com/meditation-101/what-is-meditation,,Not applicable,Yes,Yes,Yes,online app/website,online,,,,"Free, Paid",Online,Self management,,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Head to Health,DPV Broadmeadows,Hub,North Western Melbourne,,1800 595 212,Head to Health | Mental Health Hotline | DPV Health,,No timeframe,No,Yes,No,,"DPV Health Medical & Dental Centre - 42-48 Coleraine Street,",Broadmeadows,VIC,3047,Free,"In person, Online","High intensity, Low intensity, Moderate intensity, Self management, Specialist",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
